branch,branchSlug,academicYear,pattern,subject,subjectSlug,resourceType,examType,paperMonth,paperYear,fileId,accessType
Honors Course,honors-course,BE,,Virtual Reality for Game Development,virtual-reality-for-game-development,PYQ,ENDSEM,Nov_Dec,2025,1Ffd7kPMUHZimn2D5EbTEmlDHCNcLuVbh,FREE
Honors Course,honors-course,BE,,Virtual Reality for Game Development,virtual-reality-for-game-development,PYQ,INSEM,August,2025,1TYl9JCRMLHz3hMwrKBHm6afV_XVWVYRH,FREE
Honors Course,honors-course,BE,,Virtual Reality for Game Development,virtual-reality-for-game-development,PYQ,ENDSEM,Nov_Dec,2024,1315olEuiSKQHbWuHvYGsV7PEIBRxlQuZ,FREE
Honors Course,honors-course,BE,,Virtual Reality for Game Development,virtual-reality-for-game-development,PYQ,INSEM,Sept,2024,1BpbF23ekxchLKjRsGIsSlcU_VC2pFtA4,FREE
Honors Course,honors-course,BE,,Virtual Reality for Game Development,virtual-reality-for-game-development,PYQ,ENDSEM,Nov_Dec,2023,1y8vd4Xf4RXIhpk39hVtdRVsH0m9NmHUh,FREE
Honors Course,honors-course,BE,,Soft Computing and Deep Learning,soft-computing-and-deep-learning,PYQ,INSEM,March,2025,1-A2liBm_b1ao91vLOjDpXcnCOL7tgmtu,FREE
Honors Course,honors-course,BE,,Soft Computing and Deep Learning,soft-computing-and-deep-learning,PYQ,ENDSEM,May_Jun,2025,1qpbrTULUmqKHFogzZtDJG5-cepKu3-a_,FREE
Honors Course,honors-course,BE,,Soft Computing and Deep Learning,soft-computing-and-deep-learning,PYQ,ENDSEM,Nov_Dec,2024,1um3_iKs0QH20LPvwyS-evfiIGiLehlcF,FREE
Honors Course,honors-course,BE,,Soft Computing and Deep Learning,soft-computing-and-deep-learning,PYQ,ENDSEM,May_Jun,2024,1xtdgjY-YlgVqTVq3lV8SRRgDNuYCH441,FREE
Honors Course,honors-course,BE,,Soft Computing and Deep Learning,soft-computing-and-deep-learning,PYQ,INSEM,March,2024,1NzpwuFiHmUJqwjUpoqVcVGr_kqoVoaBN,FREE
Honors Course,honors-course,BE,,Soft Computing and Deep Learning,soft-computing-and-deep-learning,PYQ,INSEM,Feb,2023,1ZvE01E0z56ofqkmEdqEGlhafxIXFXhYF,FREE
Honors Course,honors-course,BE,,Soft Computing and Deep Learning,soft-computing-and-deep-learning,PYQ,ENDSEM,May_Jun,2023,1idra49B9HSzypmMfnjIzvAcOu-hWfTI6,FREE
Honors Course,honors-course,BE,,Soft Computing and Deep Learning,soft-computing-and-deep-learning,PYQ,ENDSEM,May_Jun,2022,1G0ODEINNDjXB1ehCgl6xQPkvbqya2Irh,FREE
Honors Course,honors-course,BE,,Modelling & Simulation of EHV,modelling-and-simulation-of-ehv,PYQ,ENDSEM,Nov_Dec,2025,1Tzef3n6Ul0sC0ZX3wR9v_eMu-gERHg9V,FREE
Honors Course,honors-course,BE,,Modelling & Simulation of EHV,modelling-and-simulation-of-ehv,PYQ,INSEM,August,2025,1qSh7amPOiloo_8mrf5guOZ4eQHwAA1aU,FREE
Honors Course,honors-course,BE,,Modelling & Simulation of EHV,modelling-and-simulation-of-ehv,PYQ,ENDSEM,Nov_Dec,2024,1PanRfbdigOljQd2Z65wCFmCDqWo3FhoI,FREE
Honors Course,honors-course,BE,,Modelling & Simulation of EHV,modelling-and-simulation-of-ehv,PYQ,INSEM,Sept,2024,14ev_L7EYNctq0JN3YMyrGb0n-wEviJSA,FREE
Honors Course,honors-course,BE,,Modelling & Simulation of EHV,modelling-and-simulation-of-ehv,PYQ,ENDSEM,May_Jun,2024,1DHNQ1I11YV2a8g5lOa4HQwomhczM5jWd,FREE
Honors Course,honors-course,BE,,Modelling & Simulation of EHV,modelling-and-simulation-of-ehv,PYQ,ENDSEM,Nov_Dec,2023,1wSA2XK-lPNQwPAxQDiWsrLgSFy_ulaE5,FREE
Honors Course,honors-course,BE,,Machine Learning,machine-learning,PYQ,ENDSEM,Nov_Dec,2025,1Q4DDy1ZMdWCZPPjtMxL-Jv_Kknr58PvW,FREE
Honors Course,honors-course,BE,,Machine Learning,machine-learning,PYQ,ENDSEM,May_Jun,2025,1S4pl6guCUbqLro8j_VovWGoEYnJUNh5f,FREE
Honors Course,honors-course,BE,,Machine Learning,machine-learning,PYQ,ENDSEM,Nov_Dec,2024,1YZauj9hqHFnrcYf697dpOL1M6AJ3NJH2,FREE
Honors Course,honors-course,BE,,Machine Learning,machine-learning,PYQ,ENDSEM,May_Jun,2024,1ABTOBha_odsL8er_B33LahhJO-Y4TzP8,FREE
Honors Course,honors-course,BE,,Machine Learning,machine-learning,PYQ,ENDSEM,Nov_Dec,2023,1E5UgWnJnewmbB7DEPJOY0xDmUr_cNexk,FREE
Honors Course,honors-course,BE,,Machine Learning,machine-learning,PYQ,ENDSEM,May_Jun,2023,1bAwM-S8MHojPNV9vz1-lsTO6CPHvzTov,FREE
Honors Course,honors-course,BE,,Machine Learning,machine-learning,PYQ,INSEM,Oct,2022,1ZVwv16eifNTf3Xqfy7UYBDVgZJH4e1gj,FREE
Honors Course,honors-course,BE,,Machine Learning for IOT,machine-learning-for-iot,PYQ,ENDSEM,Nov_Dec,2025,1fw6lsORJWhv92XoMAWY5NLbWl9xLz8l7,FREE
Honors Course,honors-course,BE,,Machine Learning for IOT,machine-learning-for-iot,PYQ,INSEM,August,2025,1tsSzxm5D5J_ZVxIHhXI8655R_S47CEmo,FREE
